UGRAĐENO 42 KOM.,UGRAĐENO 12 KOM.
KOIV PEDADIEJNE OSLJENO NA PJOEZU,PROTIV PEŠADIJSKE MINE ZA DEJSTVO NA POTEZ
GRUPA MINA 12 OM,GRUPA MINA 12 KOM
UGRAĐNA MIA 3 KOM. MI PZMINA RAPDANDA URANAĐADOM 1 KOM.,OBRAMBENA M-75 3 KOM. 3 MRUD MINA RASPRSKAVAJUĆA USMJERENOG DEJST. 1 KOM.
PROM-1 40 + 10 + 12 + 4 + 26 =92 KOM,PROM-1 40 + 10 + 12 + 4 + 26 = 92 KOM
1EMINA PM-1,8 MINA PTMM-1
1,14
NIJE OSAVLJEN,NIJE OSTAVLJEN
DOLJ KIUE OAPAZA,OBLIK MINSKE ZAPREKE
2. GRUPE 1. GRUPA U 2 REDA,2. GRUPE 1. GRUPA U 3 REDA
RUČNO RASPAVNAN,RUČNO NEPRAVILAN
0,9
3139,31139
3021,33021
1. GRUPA 6 KOM PMA-2 2. GRUPEA 1 KOM PMR-2A,1. GRUPA 6 KOM PMA-2 2. GRUPA 1 KOM PMR-2A
20 PMA MA-2,200 PPMN PMA-2
HCRL,HCRLL
KEUA BESTA,KORISTITI CESTA
20 RE PM3,20 HES PAM3
3. RED 1 K PMA-2,3 RED 1 K PMA-2
1O,ISTO
MINI PROL,MINSKOM POLJU
U RAOM REDU PO 2 I MA M 1A,U SVAKOM REDU PO 273 + NA CESTI 88
JEAN RED,JEDAN RED
E MINA PMR-2A DRE RED 5 PMR-2A,6 MINA PMR-2A DRUGI RED 5 PMR-2A
UGRAĐENO 1 JEDANAEST PMR-2A,UGRAĐENO 11 JEDANAEST PMR-2A
MA12T,494
TM-1 KOM 12,TMM M-1 KOM 12
2. RED 1 K. PMR-2A 2 K. PMA,2. RED 1 K PMR-2A 2 K PMA
139,1139
1 RED PMREPA,1 RED MEP-A
PROLAZ KROZ MINSKO POLJE NIJE OTAVJEN,PROLAZ KROZ MINSKO POLJE NIJE OSTAVLJEN
1. RED 16 TM-1 14 TMA-3 2. RED 16 TM 1 14 TMA-3,1 RED 16 TMM-1 14 TMA-3 2. RED 16 TMM 1 14 TMA-3
3. RED 1 K PMA-2,3. RED 1 K. PMA-2
PRP 49 KOM PMR-2A,PPMEP 45 KOM PMA-2A
RANA MI I TRUVNO LI 2U,MEŠOVITE POLJE UGRAĐENO 100 TMM 200
30959,30969
HCRL,HCRLL
0,3
RUČNO UKOPANO U ASVALT 2-RED POVEZAN,RUČNO UKOPANO U ASVALT 2 RED POVEZAN
MARNIA,MARKUSICA
NEM RUČKA,LEŽEĆI RUČNO
16 KOMADA U SVAKOM REDU,15. KOMADA U SVAKOM REDU
UGRAĐENO 14 TM-4 20,UGRAĐENO 14 TM-4 + 20
MEŠOVPO MINSKO POLJE UGRAĐENO,MEŠOVITO MINSKO POLJE UGRAĐENO
1 RED MINA U KOM,1. RED MINA U KOJEM
PTM-1 12 KOM,PTMM-1 12 KOM
25,5
UGRAĐENO PROSIVPEŠADIJSKA OATIJENA,UGRAĐENO PROTIVPEŠADIJSKA ANTIMAGNETNA
4,6
1 20 PU,1 RED PMR
RUTAVENO,OSTAVLJEN
RETRI REDA U,ČETIRI REDA U
METANA-2 REKA PUTA SA DRARENU ASTAVJENO 2 MINE,METALNA PREKO PUTA ZA KOLDRINU POSTAVLJENO 2 MINE
NIJE OSTAVLJI MOLE S,NIJE OSTAVLJEN MOŽE SE
ZAIAEANE PROZNA KOZ KROASKE,ZATVARANJE PROLAZA KROZ KANALE
PROTIVPEŠADIJSKA MINA ZA DREJTO NA,PROTIVPEŠADIJSKA MINA ZA DEJSTVO NA
34 TMA-3 1 PROM-1,24 TMA-3 4 PROM-1
PROLANA REDA,PROLAZA NEMA
UGRAĐENO 4 PMR-2A,UGRAĐENO 9 PMR-2A
NLEA NRAE,NEPRAVILAN
RUČNO UKAPANE PMA-2,RUČNO UKOPANE PMA-2
PROMA 4 1,PROLAZ 4 M
2 KOM PMR-2A KAPANE,2 KOM PMR-2A NEPRIJATELJE
PMA-2A 80 KOMADA PTM-4 42 KOMADA,PTAM-2A 20 KOMADA PTAM-4 12 KOMADA
OSTANLENI,OSTAVLJEN
NEČNO U TRASKO MIE DINE U PRVAENU,100 M ISPRED IVICE ŠUME U PRAVCU
MEŠOVITO MINSKO POLJE UGRAĐENO 28 TM-1,MEŠOVITO MINSKO POLJE UGRAĐENO 28 TMM-1
1 RED KOMADA,1 RED 7 KOMADA
RUČNO 1 GRUPA MINA U 2 REDA PO 8 M.,RUČNO 1 GRUPA MINA U 2 REDA PO 6 KOM.
HRANILICE ZA DILJAČ,HRANILICE ZA DIVLJAČ
20 PA TMA-2,200 PPMN PMA-2
PROMA-1 12 KOM,PROM-1 13 KOM
BLI,BLINJI
RUČNO UKOPANE POLAGANJE,RUČNO UKAPANJE POLAGANJE
P MINSKO POLJE,PP MINSKO POLJE
PMRA3 PO 12 MINA 4 PREDU,TMA3 PO 12 MINA U REDU
98,92
MINSKO POLJE ETAVLJENU,MINSKO POLJE POSTAVLJEN
BI,BROJ
DVIJE GRUPE JEDNA S VIJEVE STRANE,DVIJE GRUPE JEDNA S LIJEVE STRANE
1 GRUPA 3 REDA 1. RED 1 K PMR-2A 3 . PMA-,1 GRUPA 3 REDA 1. RED 1 K. PMR-2A 3 K. PMA-2
31,51
1 RED PMA-2 23 KOM PRU I RES KOD PRAM DRIN KOD PTM,1 RED PMA-2 29 KOM. PRVI I TREĆI RED PTM DRUGI RED PPM.
120 PU S,1 RED PMR-2A
ZA ZEŠAVAJE KOMAZA,ZA ZAPREČAVANJE KANALA
MA 3 TMA-2 KOM3,TNA 3 TMA-3 KOM. 3.
UGRAENO PROSTIVPEŠADIJSKIH MINA ZA DEJSTVO,UGRAĐENO PROTIV PREŠADIJSKIH MINA ZA DEJSTVO
1307,1707
NEMA PROLZA,NEMA PROLAZA
30 TMA-4 40 PMA-2,96 TMA-4 I 48 PMA-2
RUČNO UKOPANE POLAGANJE,RUČNO UKAPANJE POLAGANJE
PROLŽNI LAMU RUA,LEŽEĆI STAV RUČNO
1. GRUPA 2 REDU,1. GRUPA U REDU
D6 PED,46 MES
MAGAZNA PM-1 12,NAGAZNA PPM-1 12
1 5 PMA-2 4. RED 25 TMA-4 25 PMA-2,I 30 PMA-2 4. RED 25 TMA-4 I 25 PMA-2
20 KOM PMA-2 ŠIPRAŽJA,20 KOM PMA-2 3 PRAŽJA
50676,50678
U 1. REDU 9 KOM T-4 U 2. REDU STM-4,U 1. REDU 9 KOM TM-4 U 2. REDU STM-4
I 5PA-2 ANA 3 TMA4 30 PMA-2,I 50 PMA-2 I 4. RED 25 TMA-4 25 PMA-2
131,1331
5MOBNO,5 MTB
KO3,BEN
1984,1234
NA,NO
PROTIVPJEŠADIJSKO 4 KOM M SK,PROTUPJEŠADIJSKA 4 KOM PMR-2A
UGRAĐENO 3 KOM,UGRAĐENO 3 KOM.
3230,33238
2 KOM PMR-2A MASPOEK,2 KOM PMR-2A NEPRIJATELJ
1 GRUPA 3 REDA 1. RED 1 . PMR-2A 3 2 PMA-2,1 GRUPA 3 REDA 1 2 RED RED 1 1 K K PMR-2A PMR-2A 3 2 PMA-2 PMA
RETRI REDA U,ČETIRI REDA U
