1. RED 25 TMA-4 I 50 PMA-2 2. RED STMA-4 I 75 PMA-2 3. RED 25 TMA-4,1. RED 25 TMA-4 I 50 PMA-2 I 2. RED STMA-4 I 15 PMA-2 I 3. RED 25 TMA-4
PTM-1 12 KOM,PTMM-1 12 KOM
JEDAN RED P MINA,JEDAN RED PP MINA
RUČNO UKAPANE PMA-2,RUČNO UKOPANE PMA-2
GUPRIJE ZA ULAZ U POLJE DESNO OD,ĆUPRIJE ZA ULAZ U POLJE DESNO OD
PRAVOINIJSKI STROJEVIM KORAKOM,PRAVOLINIJSKI STROJEVIM KORAKOM
RUČNO UKAPANJE PMA-2,RUČNO UKOPANE PMA-2
PTM-1 8 KOM.,PTMM-1 8 KOM.
PROTIUPJEŠADIJSKA 4 KOM PMR-2A,PROTUPJEŠADIJSKA 4 KOM PMR-2A
MEŠOVITO MINSKO POLJE SA 10 PTM 8 PMA-1A,MEŠOVITO MINSKO POLJE SA 100 PTM 88 PMA-1A
1. RED 2 TMA-1A 3 TM-1 50 PMA-2 2. RED 2 TMA-1A 3 TM-1 75 PMA-2,1. RED 22 TMA-1A 3 TMM-1 50 PMA-2 2. RED 22 TMA-1A 3 TMM-1 75 PMA-2
1. GRUPA 6 KOM PMA-2 2. GRUPA 1 KOM PMR-2A,1 GRUPA 6 KOM PMA-2 2 GRUPE 1 KOM PMR-2A
KRAJSVAKE POTEZNE MINE SA LEVE DESNE STRANE NAZE SE DVE,KRAJ SVAKE POTEZNE MINE SA LEVE DESNE STRANE NALAZE SE DVE
TM M-1 KOM 12,TMM M-1 KOM 12
P MINSKO POLJE,PP MINSKO POLJE
PMA-2A TM-1 I 50 PMA-2AREDUTM- 25 PMA-2A,PMA-2A TMM-1 I 50 PMA-2A 25 PMA-2A
RUČNO POLAGANJE UKAPANE,RUČNO POLAGANJE UKAPANJE
VOJNIK NOSI POSTAVLJA PO 4 MINE,VOJNIK NOSI I POSTAVLJA PO 4 MINE
ĆI 0 M. RUČNO,ĆI 30 M. RUČNO
PROLZA NEMA,PROLAZA NEMA
 PO RED 30 KOM PMA-2 1 GRUPA 29 KOM. TM-1 PRI I KOM TREĆI RED GRPA PTM TMA-3 DRUI RED 4 KOM. PM,1 PO RED 30 KOM PMA-2 1 GRUPA 29 KOM. TMM-1 PRVI 8 I KOM TREĆI 1 RED GRUPA PTM TMA-3 DRUGI RED 4 KOM. PPM
GRUPA MINA 3. KOMAD,GRUPA MINA 31. KOMAD
6 KOM PMA-2 KRAJA RASK.,6 KOM PMA-2A KRAJA RASK.
1 GRUPA U3 REDA,1 GRUPA U 3 REDA
TO I RED 25 TMA-4 I 50 PMA-2 2. RED 25 TMA-4 75 PMA-2 3. RED 25 TMA-4,TO I RED 25 TMA-4 50 PMA-2 2. RED 25 TMA-4 75 PMA-2 3. RED 25 TMA-4
MEŠOVITE POLJE UGRAĐENO 10 TM 20,MEŠOVITE POLJE UGRAĐENO 100 TMM 200
1. RED 1 TMA-5 14 TMA-1A I 50 PMA-2 2. RED 1 TMA-5 14 TMA-1A 45 PMA,1. RED 11 TMA-5 14 TMA-1A I 50 PMA-2 2. RED 11 TMA-5 14 TMA-1A 45 PMA
MEŠOVITO MINSKO POLJE SA 10 PTM 8 PMA-1A,MEŠOVITO MINSKO POLJE SA 100 PTM 88 PMA-1A
PMR-2A 1 KOM,PMR-2A 11 KOM
P MINSKO POLJE,PP MINSKO POLJE
PUTA POSAVLJENE SEJANJEM PREMA UCRTANOJ ŠEI,PUTA POSTAVLJENE SEJANJEM PREMA UCRTANOJ ŠEMI
MEŠOVITO MINSKO POLJE SA 10 PTM 54 TMA-1A,MEŠOVITO MINSKO POLJE SA 100 PTM 54 TMA-1A
72 TMA-4 I 20 PMR-2A,72 TMA-4 I 200 PMR-2A
PMR-2A 8. KOM. MINA RASPRSKAVAJUĆA USMJENOG DEJSTVA MRD,PMR-2A 8. KOM. MINA RASPRSKAVAJUĆA USMJERENOG DEJSTVA MRUD
MEŠOVITO MINSKO POLJE UGRAĐENO 28 TM-1,MEŠOVITO MINSKO POLJE UGRAĐENO 28 TMM-1
RUČNOSTROJEVIM RASPOREDOM,RUČNO STROJEVIM RASPOREDOM
1. RED 2 TMA-1A 3 TM-1 50 PMA-2 2. RED 2 TMA-1A 3 TM-1 75 PMA-2,1. RED 22 TMA-1A 3 TMM-1 50 PMA-2 2. RED 22 TMA-1A 3 TMM-1 75 PMA-2
GR 5 KOM PAMZ GR 10 LOM PAMZ KOM PM2 GR 3 KOM PM,GR 5 KOM PAMZ GR 10 LOM PAMZ KOM PAM2 GR 3 KOM PAM
DVA REDA OKO 10 KOR. UDESNO.,DVA REDA OKO 10 KOR. U DESN.
POTEZ-2A PMR-2A UGRAĐENO 3 KOM5 KOMBINACIJA PROTIVPEŠADIJSKE MINE ZA DEJSTVO,POTEZ-2A PMR-2A UGRAĐENO 3 KOM 5 KOMBINACIJA PROTIVPEŠADIJSKE MINE ZA DEJSTVO
UGRAĐENO UKUPNO TM 72 KOM TMA-3 64 KOM TM-1,UGRAĐENO UKUPNO TM 72 KOM TMA-3 64 KOM TMM-1
NAGAZNIH MINA UGRAĐENO 45 PMA-3 PEŠ. MINA ANTIMAGNETNA-3,NAGAZNIH MINA UGRAĐENO 45 PMA-3 PEŠ. MINA ANTIMAGNETNA-2
2 KOM PMR-2A NEPRIJATJE,2 KOM PMR-2A NEPRIJATELJE
3. RED 1 K PMA-2,3 RED 1 K PMA-2
3 GRUPA 9 KOM PMA-2 5 KOM PMA-2,3. GRUPA 9 KOM PMA-2 5 KOM PMA-2
U 1. REDU 9 KOM TN-4 U 2. REDU STM-4,U 1. REDU 9 KOM TM-4 U 2. REDU STM-4
1. RED 25 TMA-4 I 50 PMA-2 2. RED STMA-4 I 75 PMA-2 3. RED 25 TMA-4,1. RED 25 TMA-4 I 50 PMA-2 2. RED 25 TMA-4 I 75 PMA-2 3. RED 25 TMA-4
UGRAĐENO 8 PMR-2A PMA-2,UGRAĐENO 8 PMR-2A 1 PMA-2
PO 30 KOM 1 GRUPA TM-1 8 KOM 1 GRUPA TMA-3 4 KOM.,PO 30 KOM 1 GRUPA TMM-1 8 KOM 1 GRUPA TMA-3 4 KOM.
8 MINA PTM-1,8 MINA PTMM-1
RUČNO UKOPANOA U ASVALT 2 RED POVEZAN,RUČNO UKOPANA US ASVALT 2 RED POVEZAN
OLIK MINSKE ZAPREKE,OBLIK MINSKE ZAPREKE
P MINSKO POLJE,PP MINSKO POLJE
PRALELNO RAZMAK 10 M JEDNA MINA STAVLJENA VAN REDA,PARALELNO RAZMAK 10 M JEDNA MINA STAVLJENA VAN REDA
1 RED 16 TM-1 14 TMA-3 2. RED 16 TM 1 14 TMA-3,1 RED 16 TMM-1 14 TMA-3 2. RED 16 TMM 1 14 TMA-3
10 M ISPRED IVICE ŠUME U PRAVCU,100 M ISPRED IVICE ŠUME U PRAVCU
U SVAKOM REDU PO 273 + NA CESTI 8,U SVAKOM REDU PO 273 + NA CESTI 88
KOMINOVANO MEPU I P,KOMBINOVANO MEP PU I PP
RUČNO POLAGANJE UKAPANJE,RUČNO POLAGANJE UKOPANE
RUČNO POLAGANJE UKOPANJE,RUČNO POLAGANJE UKAPANJE
2 KOM PMR-2A NEPRIJATELU,2 KOM PMR-2A NEPRIJATELJ
GR 9 KOM PAM2 GR 1 KOM PMZ KOM PAM3 GR KOM PAM32,GR 9 KOM PAM 2 GR 17 KOM PMZ KOM PAM3 GR KOM PAM3
PO 63 KOM PRVI I RED 1 RED PMA-2 85 KOM,PO 63 KOM PRVI I TREĆI RED 1 RED PMA-2 85 KOM
MEŠOVITO MINSKO POLJE OD 10 TM TMA-4 I,MEŠOVITO MINSKO POLJE OD 100 TM TMA-4 I
PT MEP 10 TMRP-6,PT MEP 100 TMRP-6
1 RED PMA-2 29 KOM. PRVI I TREĆI RED PTM DRUGI RED PM.,1 RED PMA-2 29 KOM. PRVI I TREĆI RED PTM DRUGI RED PPM.
JEDNA GRUPA 2 MES,JEDNA GRUPA 22 MES
20 PMN PMA-2,200 PPMN PMA-2
1 GRUPA 1 KOM,1 GRUPA 11 KOM
3. GRUPE 9 KOM PMA-2 5 KOM PMA-2,3 GRUPE 9 KOM PMA-2 5 KOM PMA-2
20 PMN PMA-2,200 PPMN PMA-2
2. GRUPA 3 KOM PMA-2,2 GRUPA 3 KOM PMA-2
TM-M1 KOM 35,TMM-M1 KOM 35
OLIK MINSKA ZAPREKA,OBLIK MINSKA ZAPREKA
TORSKIH KAPSLI BR. 1 KOM. EDK BATERIJA 4,54 KOM. 1.,TORSKIH KAPSLI BR. 1 KOM. EDK BATERIJA 4,5V KOM. 1.
2. RED 1 K PMR-2A 2 K. PMA,2. RED 1 K PMR-2A 2 K PMA
RUČNO UKOPANJE POLAGANJE,RUČNO UKAPANJE POLAGANJE
UGRAĐENO MINA UZ RJEKU BINJA 4 KOM.,UGRAĐENO MINA UZ RJEKU BLINJA 4 KOM.
NAGAZNA PM-1 12 KOM,NAGAZNA PPM-1 12 KOM
P MEP 2 KOM PMR-2A,PP MEP 22 KOM PMR-2A
DTAVLAN OLIK MINSKA ZAPREKA,NEPRAVILAN OBLIK MINSKA ZAPREKA
2. RED 1 K PMR-2A 2 K. PMA,2. RED 1 K. PMR-2A 2 K. PMA
12 TM-1 20 PM PMA-2,12 TMM-1 200 PPM PMA-2
MEŠALNA PREKO PUTA ZA KOLDRINU POSTAVLJENO 2 MINE,METALNA PREKO PUTA ZA KOLDRINU POSTAVLJENO 2 MINE
RUČNO UKAPAVNJEM PMA-2,RUČNO UKAPANJEM PMA-2
PROTUTENKOVSKE MINE PTM-1,PROTUTENKOVSKE MINE PTMM-1
GR. 2 MES 10 PAM2 12 PAM3 GR 1 PROM1 8 PAM3,GR. 22 MES 10 PAM2 12 PAM3 GR 1 PROM1 8 PAM3
4. REDA 25 TM-1 50 PMA-2A TM-1 I 75,4 REDA 25 TMM-1 50 PMA-2A 25 TMM-1 I 75
RUČNO DVREDNO,RUČNO DVOREDNO
RUČNOI NAČIN STROJEVI RASPORED GRUPEA MINA,RUČNO NAČIN STROJEVI RASPORED GRUPA MINA
RUČNO INAČIN OBE GRUPE MINA U ZAHVATU,RUČNO NAČIN OBE GRUPE MINA U ZAHVATU
MINA 30,MINA 300
RUČNO POLAGANJE UKOPANJE,RUČNO POLAGANJE UKOPANE
12 TM-1 20 PM PMA-2,12 TMM-1 200 PPM PMA-2
1. GRUPA 3 MINE PMA-2 2 6 K K PROM-1 PMA-2 1 K. PMA,1. GRUPA 3 MINE PMA-2 2 6 K K PROM-1 PMA-2 11 K. PMA
PTM-1 POSTAVLJENE U GRUPI,PTMM-1 POSTAVLJENE U GRUPI
PROTIV TENKOVSKA MINA PTM-1,PROTIV TENKOVSKA MINA PTMM-1
PMA-2A TM-1 I 50 PMA-2A REDU TM-1 I 25 PMA-2A,PMA-2A TMM-1 I 50 PMA-2A REDU TMM-1 I 25 PMA-2A
UGRAĐENO 1 MINA PMR-2A,UGRAĐENO 11 MINA PMR-2A
ZA PJEŠAKE SIGURAN PROLAZ 1,ZA PJEŠAKE SIGURAN PROLAZ A
NAGAZNIH MINA UGRAĐENO 45 PMA-3 PEŠ. MINA ANTIMAGNETNA-3,NAGAZNIH MINA UGRAĐENO 45 PMA-3 PEŠ. MINA ANTIMAGNETNA 3
UGRAĐENO 5 PTM-1,UGRAĐENO 55 PTMM-1
RUČNO I NAČIN OBE GRUPE MINA U ZAHVATU,RUČNO II NAČIN OBE GRUPE MINA U ZAHVATU
TM-M1 KOM 38,TMM-M1 KOM 38
RUČNO UKAPANJEM PMA-2,RUČNO UKOPAVANJEM PMA-2
P MINSKO POLJE OD PMR 1920,PP MINSKO POLJE OD PMR 1920
PMR-2A,PPMR-2A
PTM-1 6 KOMAD PTAM-3 6 KOMADA,PTMM-1 6 KOMAD PTAM-3 6 KOMADA
3. RED 2 TMA-1A 3 TM-1 50 PMA-2 4. RED 2 TMA-1A 3 TM-1 25 PMA-2,3 RED 22 TMA-1A 3 TMM-1 50 PMA-2 4. RED 22 TMA-1A 3 TMM-1 25 PMA-2
I 46 TMA-5 I 20 PMN PMA-2,I 46 TMA-5 I 200 PPMN PMA-2
UGRAĐENO 1 JEDANAEST PMR-2A,UGRAĐENO 11 JEDANAEST PMR-2A
U .1. REDU 9 KOM TN-4 U 2. REDU STM-4,U .1. REDU 9 KOM TM-4 U 2. REDU STM-4
4 TMA-4 REDA PMR-2A PRVOM REDU 3, RED 18 TM-1 TM-1 TMA-4 TMA-4 I 50 PMR-2A PMR-2A RED 8 2. TMA-1 RED-18 TMA-7 TM-1 25 7 7PMA1,4. TMA-4 REDA U PMR-2A PRVOM REDU 3, RED 18 18 TMM-1 TMM-1 7 TMA-4 7 TMA-4 I 50 PMR-2A PMR-2A 4 RED 18 2. TMM-1 RED 18 7 TMA-4 TMM-1 25 7 PMA
MEŠOVITO MINSKO POLJE SA 10 PTM 54 MA-1A,MEŠOVITO MINSKO POLJE SA 100 PTM 547 MA-1A
20 PMN PMA-2,200 PPMN PMA-2
MINA UGRAĐENO JE24 PROTIVPEŠADIJSKO PMR-2A MINKO POLJE OD POLAZNIA,MINA UGRAĐENO JE 24 PROTIVPEŠADIJSKO PMR-2A MINSKO POLJE OD POLAZNIH
RUČNO UKOPANJE,RUČNO UKOPANE
TMA-4 I PMA-2A 3. RED 18 TM-1 I 7 TMA-4 I 50 PMA-2A 4. RED 18 TM-1 7 PMA-2 25 PMA,TMA-4 I PMA-2A 3. RED 18 TMM-1 I 7 TMA-4 I 50 PMA-2A 4. RED 18 TMM-1 7 PMA-2 25 PMA
P MINSKO POLJE,PP MINSKO POLJE
UGRAĐENO 40 KOM. PMR-2A,UGRAĐENO 40 KOM PMR-2A
REDU PO 16 TMA-4 U I I I I REDU PO 32 PMA-2A I IV REDU 48 MINA,REDU PO 16 TMA-4 U I II I III REDU PO 32 PMA-2A I IV REDU 48 MINA
MEŠOVITE POLJE UGRAĐENO 10 TM 20,MEŠOVITE POLJE UGRAĐENO 100 TMM 200
3 RED 20 TM-1 10 TMA-3 4. RED 8 TM 1 2 TMA-3,3 RED 20 TMM-1 10 TMA-3 4. RED 8 TMM 1 22 TMA-3
KORAKADMAKA OKO 10 KORA,KORAKA ODMAK OKO 10 KORAKA
MASKIRAN U ŽICI,MASKIRAN U ŽIVICI
1. GRUPA 3 MINE PMA-2 2 6 K K PROM-1 PMA-2 1 K. PMA,1. GRUPA 3 MINE PMA-2 2 6 K K PROM-1 PMA-2 11 K. PMA
P MINSKO POLJE,PP MINSKO POLJE
1. RED 2 TMA-1A 3 TM-1 50 PMA-2 2. RED 2 TMA-1A 3 TM-1 75 PMA-2,1. RED 22 TMA-1A 3 TMM-1 50 PMA-2 2. RED 22 TMA-1A 3 TMM-1 75 PMA-2
1. GRUPA REDU,1. GRUPA U REDU
P MEP 23 KOM PROM1 12 KOM PMA,PP MEP 23 KOM PROM1 12 KOM PMA
4. REDA 25 TM-1 50 PMA-2A TM-1,4 REDA 25 TMM-1 I 50 PMA-2A U TMM-1
4. REDA U PRVOM REDU 18 TM-1 I 7 TMA-4 I PMA-2A 2. RED 18 TM-1 7,4. REDA U PRVOM REDU 18 TMM-1 I 7 TMA-4 I PMA-2A 2. RED 18 TMM-1 7
3. RED 2 TMA-1A 3 TM-1 50 PMA-2 4. RED 2 TMA-1A 3 TM-1 25 PMA-2,3. RED 22 TMA-1A 3 TMM-1 50 PMA-2 4. RED 22 TMA-1A 3 TMM-1 25 PMA-2
UGRAĐENO 208 MINA I TO 64 TMA-4 14 PMA-2A,UGRAĐENO 208 MINA I TO 64 TMA-4 144 PMA-2A
MINA- "PATET" UGRAĐENO 4 KOM. TENKOVSKA ANTIMAGNETNA MINA-3 TMA-3 KOM. 2 DESTANA,MINA-2 "PAŠTETA" UGRAĐENO 4 KOM. TENKOVSKA ANTIMAGNETNA MINA-3 TMA-3 KOM. 2 DETONIRA
OKRENUTA U JEDNOM PRAVCU UDALJENO MINA U,OKRENUTA U JEDNOM PRAVCU UDALJENOS MINA 4
1 RED 10 KOM MES,1 RED 100 KOM MES
TO I RED 25 TMA-4 I 50 PMA-2 2. RED 25 TMA-4 75 PMA-2 3. RED 25 TMA-4,TO I RED 25 TMA-4 I 50 PMA-2 2. RED 25 TMA-4 I 75 PMA-2 3. RED 25 TMA-4
P MINSKO POLJE,PP MINSKO POLJE
UGRAĐENO 1 MINA PMR-2A,UGRAĐENO 11 MINA PMR-2A
DVOREDNO 19 KOM PMR2A PMR2A OD KORDIATE,DVOREDNO 19 KOM PMR2A PMR2A OD KORDINATE
MEP JE POSTOJEĆE PMEP,MEP JE POSTOJEĆE PPMEP
REDU PO 16 TMA-4 U I I I I REDU PO 32 PMA-2A I IV REDU 48,REDU PO 16 TMA-4 U I II I III REDU PO 32 PMA-2A I IV REDU 48
GRUPA MINA KOM 4,GRUPA MINA KOM 3
AZMAK REOVA 4 M,RAZMAK REDOVA 4 M
PRVA MINA POSTAVLJENA NA O ,PRVA MINA POSTAVLJENA NA OKO 5
RUČNO STROJEVIM RASPOREDOM 1. NAČIN,RUČNO STROJEVIM RASPOREDOM 1 NAČIN
BRABENA M-75 3 KOM. 3 MRUD MINA RASPRSKAVAJUĆA USMJENOG DEJST. 1 KOM.,OBRAMBENA M-75 3 KOM. 3 MRUD MINA RASPRSKAVAJUĆA USMJERENOG DEJST. 1 KOM.
PTM-1 251 KOMAD,PTMM-1 251 KOMAD
MEŠOVITO MINSKO POLJE OD 10 TM TMA-4 I,MEŠOVITO MINSKO POLJE OD 100 PTM TMA-4 I
RUČNO I NAČIN STROJEVI RASPORED GRUPE MINA,RUČNO II NAČIN STROJEVI RASPORED GRUPE MINA
UGRAĐENO 1 JEDANAEST PMR-2A,UGRAĐENO 11 JEDANAEST PMR-2A
MEŠOVITO MINSKO POLJE UGRAĐENO 28 TM-1,MEŠOVITO MINSKO POLJE UGRAĐENO 28 TMM-1
4 KOMADA PRM-A2,4 KOMADA PRMM-A2
PUTU U 3. REDU REDU MINE NA PUTU 3 MINE VAN PUTA 4 REDU 3 NA PUTU I 4 RED,PUTU U 3. REDU REDU MINE NA PUTU I 3 MINE VAN PUTA U 4 REDU 3 NA PUTU I 4 RED
1. RED 1 TMA-5 14 TMA-1A I 50 PMA-2 2. RED 1 TMA-5 14 TMA-1A 45 PMA,1. RED 11 TMA-5 14 TMA-1A I 50 PMA-2 2. RED 11 TMA-5 14 TMA-1A 45 PMA
2 GRUPE 1. GRUPA 1 KOM PMR-2A 2 KOM PMA-2,2 GRUPE 1 GRUPA 1 KOM PMR-2A 2 KOM PMA-2
UGRAĐENE 102 RASPRKAVAJUĆE POTEZNE MINE DOPUNJENO SA 8 MINA,UGRAĐENE 102 RASPRSKAVAJUĆE POTEZNE MINE DOPUNJENO SA 8 MINA
X=690 Y=130 U PRAVCU JUGOZPAD URAĆENO JOŠ 6 KOM PROM-1,X=69050 Y=51300 U PRAVCU JUGOZAPAD URAĆENO JOŠ 6 KOM PROM-1
P MEP 35 MES,PP MEP 35 MES
2. GRUPE 1. GRUPA 1 KOM PMR-2A 3 KOM PMA-2,2 GRUPE 1. GRUPA 1 KOM PMR-2A 3 KOM PMA-2
UGRAĐENO 14 KOMADA MINA NAKNADNO UGRAĐENO JOŠ 12 PAM,UGRAĐENO 14 KOMADA MINA NAKNADNO UGRAĐENO JOŠ 12 PTAM
2 KOM,22 KOM.
72 TMA-4 I 20 PMA-2A,72 TMA-4 I 200 PMA-2A
2. GRUPA 1 KOM PMR-2A 3 KOM PMA-A,2. GRUPA 1 KOM PMR-2A 3 KOM PMA-
UKUPNO 14 MINA + 12,UKUPNO 14 MINA 12
RUČNO ŽICE ZA POTEZANJE OKRENUTO U DESNU,RUČNO ŽICE ZA POTEZANJE OKRENUTE U DESNU
NANIAKAVOSA NAPRVKANVSA VAKANA MINI PAM-1 KOM 2 NRE-A PETAIJA DEAINA,PROTIVPEŠADIJSKA RASPRSKAVAJUĆA ODSKOČNA MINA-1 PROM-1 KOM. 2. PROTIV PEŠADIJSKA ANTIM
6 TMNA PMR-2A DRUG RED 6 PMR-2A,6 MINA PMR-2A DRUGI RED 5 PMR-2A
RUČNO UKOPANO U ASVALT 2 RED POVEZAN,RUČNO UKOPANO U ASVALT 2-RED POVEZAN
UGRAĐENO 14 TM-4 + 20,UGRAĐENO 14 TM-4 20
4. REDA 25 TM-1 I 50 PMA-2A TM-1,4 REDA 25 TMM-1 I 50 PMA-2A U TMM-1
RUČNO UKOPANJE,RUČNO UKAPANJE
